iter	RMSE
0	146.2378297
1	120.862532
2	100.5913359
3	85.76029375
4	73.90181546
5	64.63412282
6	59.24117668
7	54.61234634
8	51.24099577
9	48.69815174
10	46.61417319
11	45.49968795
12	44.88211306
13	43.77642966
14	42.79664605
15	41.62150297
16	40.72750902
17	40.22256405
18	40.01726796
19	39.51241007
20	39.09372023
21	38.79930885
22	38.13796416
23	37.55400384
24	37.23674374
25	36.83095977
26	36.12028258
27	35.95266061
28	35.40429132
29	35.11629093
30	34.95436856
31	34.67857133
32	34.58766538
33	34.3047006
34	34.01129988
35	33.93171777
36	33.31532764
37	32.5860773
38	32.52026648
39	32.25811838
40	32.0359138
41	31.96000641
42	31.33497993
43	31.26683901
44	31.06334187
45	30.49771983
46	30.30536834
47	30.26475965
48	30.07154443
49	29.89629203
50	29.81499529
51	29.374402
52	29.35009456
53	29.19478952
54	29.15619932
55	29.03782769
56	29.01892013
57	28.97721474
58	28.65586968
59	28.20697551
60	28.04961527
61	27.91112542
62	27.45725626
63	27.18670473
64	27.04270879
65	26.71888186
66	26.31938813
67	26.22011034
68	26.12065126
69	26.0929925
70	26.00687753
71	25.75948809
72	25.67546184
73	25.3547265
74	24.97857854
75	24.8778959
76	24.82082378
77	24.5678363
78	24.39831297
79	24.31976751
80	24.15714336
81	24.1283929
82	23.85284276
83	23.79007631
84	23.60970759
85	23.54895061
86	23.50948988
87	23.27811508
88	23.08031204
89	22.85343124
90	22.73877459
91	22.64436458
92	22.51900503
93	22.43851599
94	22.10371658
95	22.04973469
96	21.93354181
97	21.77087916
98	21.47968063
99	21.46131305
