model,mape,ticker,model_type
light_gbm,0.1764499994163506,UNVR.JK,light_gbm
linear_regression,0.0279181355628326,BRPT.JK,linear_regression
random_forest,0.0429665159107205,TLKM.JK,random_forest
ridge,0.0365399615411782,TSLA,ridge
mlp,0.0308580320884225,BRPT.JK,mlp
catboost,0.0437026428378341,TLKM.JK,catboost
light_gbm,0.0727985345688554,TSLA,light_gbm
ridge,0.0135751029799755,ASII.JK,ridge
light_gbm,0.0299774076542489,GOTO.JK,light_gbm
decision_tree,0.019140393499258,MSFT,decision_tree
decision_tree,0.0309374039881705,BMRI.JK,decision_tree
ridge,0.0181002823054839,TLKM.JK,ridge
light_gbm,0.030030441886351,AAPL,light_gbm
knn,0.0186860802789633,BBCA.JK,knn
knn,0.030193796659706,AAPL,knn
random_forest,0.0579857179364692,ANTM.JK,random_forest
mlp,0.0275540303709243,UNVR.JK,mlp
mlp,0.0183376832297863,TLKM.JK,mlp
xgboost,0.0466907382830318,TLKM.JK,xgboost
xgboost,0.174191700459458,UNVR.JK,xgboost
linear_regression,0.0121849591494018,MSFT,linear_regression
xgboost,0.0168367937863339,BBCA.JK,xgboost
xgboost,0.0418965939563992,BRPT.JK,xgboost
ridge,0.016368054137512,PGAS.JK,ridge
random_forest,0.0167175032016945,ASII.JK,random_forest
xgboost,0.0698948620502765,TSLA,xgboost
light_gbm,0.0620963019073741,ANTM.JK,light_gbm
light_gbm,0.0159568447452458,ASII.JK,light_gbm
xgboost,0.0238080614769534,BBNI.JK,xgboost
random_forest,0.0249167264549218,BMRI.JK,random_forest
catboost,0.064627438358924,ANTM.JK,catboost
mlp,0.0174901425459264,AAPL,mlp
decision_tree,0.0207948874593422,ASII.JK,decision_tree
decision_tree,0.0529193157169788,BRPT.JK,decision_tree
xgboost,0.0636015208900761,ANTM.JK,xgboost
random_forest,0.0236378182296611,BBNI.JK,random_forest
knn,0.0620295029336594,ANTM.JK,knn
decision_tree,0.0354343044354229,PGAS.JK,decision_tree
knn,0.0435804309135539,BRPT.JK,knn
knn,0.043300184700034,TLKM.JK,knn
linear_regression,0.0163680542985851,PGAS.JK,linear_regression
knn,0.0192657217002609,MSFT,knn
catboost,0.0262493864039242,AAPL,catboost
mlp,0.0167394904621433,PGAS.JK,mlp
light_gbm,0.0167060349523341,BBCA.JK,light_gbm
linear_regression,0.0218323437708902,BBNI.JK,linear_regression
decision_tree,0.057880662296672,TLKM.JK,decision_tree
