iter	RMSE
0	52.99849997
1	40.8575302
2	31.55650852
3	24.7774345
4	19.8907142
5	16.07339492
6	13.31524333
7	11.35508836
8	9.997899196
9	8.945326111
10	8.221685541
11	7.806134771
12	7.538358965
13	7.393613526
14	7.177369305
15	7.036924384
16	6.922594462
17	6.815026246
18	6.749804172
19	6.637124798
20	6.572153021
21	6.493777047
22	6.426913129
23	6.371239122
24	6.310098584
25	6.257077608
26	6.220288424
27	6.181276683
28	6.125604551
29	6.082248248
30	6.053237314
31	6.027588528
32	5.95728501
33	5.931745984
34	5.915295012
35	5.866732032
36	5.854719223
37	5.759720987
38	5.746283277
39	5.737455374
40	5.649258833
41	5.630920737
42	5.605141381
43	5.601043958
44	5.565913342
45	5.540464051
46	5.535147067
47	5.478386612
48	5.412039616
49	5.359457487
50	5.329009382
51	5.298840107
52	5.275799701
53	5.260966229
54	5.256785126
55	5.216579139
56	5.170187123
57	5.166779592
58	5.120170244
59	5.077528699
60	5.056464495
61	5.044462881
62	5.015098598
63	4.976100338
64	4.937796882
65	4.885848816
66	4.870120313
67	4.838449086
68	4.835956856
69	4.796996181
70	4.788804109
71	4.772535976
72	4.711014467
73	4.665494329
74	4.663028264
75	4.627836232
76	4.586752689
77	4.559001925
78	4.497068296
79	4.472078418
80	4.467882933
81	4.465964368
82	4.444667522
83	4.434824134
84	4.408450013
85	4.379529581
86	4.368509985
87	4.334089589
88	4.329734007
89	4.294466118
90	4.261593133
91	4.218510925
92	4.185764952
93	4.183216544
94	4.152889808
95	4.125225013
96	4.120159782
97	4.11283909
98	4.109460429
99	4.09991001
