iter	Passed	Remaining
0	1	158
1	2	137
2	3	124
3	5	122
4	6	118
5	7	113
6	8	111
7	9	107
8	10	105
9	11	104
10	12	101
11	13	100
12	14	98
13	15	96
14	16	95
15	17	94
16	19	93
17	20	92
18	21	91
19	22	89
20	23	88
21	24	87
22	25	86
23	26	85
24	28	84
25	29	83
26	30	82
27	31	81
28	32	80
29	33	79
30	35	78
31	36	77
32	37	76
33	38	74
34	39	73
35	40	72
36	41	71
37	42	69
38	43	68
39	44	67
40	45	65
41	46	64
42	47	63
43	48	62
44	50	61
45	51	60
46	52	58
47	53	57
48	54	56
49	55	55
50	56	54
51	57	53
52	58	52
53	59	51
54	60	49
55	62	48
56	63	47
57	64	46
58	65	45
59	66	44
60	68	43
61	68	42
62	69	41
63	70	39
64	71	38
65	72	37
66	73	36
67	74	34
68	75	33
69	76	32
70	77	31
71	78	30
72	78	29
73	79	28
74	80	26
75	81	25
76	82	24
77	82	23
78	83	22
79	84	21
80	85	20
81	86	19
82	87	17
83	88	16
84	89	15
85	90	14
86	91	13
87	92	12
88	93	11
89	94	10
90	95	9
91	96	8
92	97	7
93	98	6
94	99	5
95	99	4
96	100	3
97	101	2
98	102	1
99	103	0
